Time Step, x CoM, y CoM, z CoM
2700000, 0.042364, 0.105766, 7.560114
2710000, -0.130859, 0.000813, 7.729911
2720000, 0.035316, -0.174101, 7.144742
2730000, 0.045132, 0.040085, 7.234136
2740000, -0.150693, -0.078256, 7.681303
2750000, -0.047591, -0.012888, 7.915877
2760000, -0.027834, -0.097254, 7.054955
2770000, 0.047895, -0.005926, 7.267782
2780000, 0.112665, -0.058565, 6.980281
2790000, 0.186597, -0.106730, 7.969031
2800000, 0.090748, 0.118038, 8.106862
2810000, 0.049545, -0.043300, 7.504221
2820000, -0.129394, 0.068778, 7.214947
2830000, -0.108894, 0.039022, 7.453245
2840000, 0.055547, -0.119936, 7.503259
2850000, -0.014533, 0.011827, 7.636123
2860000, 0.018863, -0.003809, 7.644403
2870000, -0.046913, -0.212212, 7.423068
2880000, -0.077722, -0.105060, 8.144056
2890000, -0.065901, -0.091776, 6.991734
2900000, 0.128849, -0.225565, 7.698558
2910000, -0.041608, 0.128740, 7.873706
2920000, -0.042010, -0.013375, 7.444217
2930000, 0.072930, 0.032207, 7.628829
2940000, -0.102851, 0.033304, 8.000500
2950000, -0.014091, 0.058603, 7.145149
2960000, -0.099169, 0.173998, 7.086323
2970000, -0.033675, 0.078797, 7.655697
2980000, -0.003405, -0.025040, 7.374577
2990000, -0.168482, 0.044957, 7.547783
3000000, -0.064650, 0.109073, 7.881587
3010000, -0.118383, -0.106105, 8.082138
3020000, -0.068967, 0.018315, 7.687203
3030000, -0.002552, 0.039174, 7.879710
3040000, 0.283212, 0.123441, 7.501166
3050000, -0.018208, 0.331530, 7.676865
3060000, 0.205645, 0.217165, 7.159501
3070000, 0.124261, 0.166185, 7.620352
3080000, 0.014248, 0.243351, 7.812583
3090000, 0.038580, 0.068903, 7.500051
3100000, -0.038331, 0.099895, 7.919596
3110000, 0.034979, 0.048729, 8.008375
3120000, 0.005500, -0.026552, 7.626920
3130000, 0.023002, 0.004859, 8.176357
3140000, -0.063018, -0.092181, 8.180523
3150000, -0.242401, -0.019232, 7.353208
3160000, -0.217752, -0.020951, 7.397769
3170000, 0.057439, 0.064197, 6.710348
3180000, 0.028258, 0.073468, 7.366554
3190000, -0.058710, 0.169081, 7.546529
3200000, 0.077117, 0.076479, 7.553918
3210000, 0.014593, 0.049348, 7.964316
3220000, -0.091054, 0.016146, 7.328665
3230000, 0.056383, 0.045230, 8.004736
3240000, 0.148329, 0.115610, 7.883108
3250000, 0.006508, 0.037904, 7.208084
3260000, -0.004200, -0.139960, 7.417083
3270000, 0.033257, 0.084174, 8.004581
3280000, -0.067225, 0.116266, 7.586874
3290000, 0.062680, -0.018728, 7.475108
3300000, -0.107219, -0.085220, 6.999636
3310000, -0.028638, 0.013367, 7.451220
3320000, 0.030598, -0.007125, 7.474351
3330000, -0.033343, 0.054544, 7.775121
3340000, 0.080786, 0.074126, 7.743381
3350000, 0.023575, 0.111907, 7.533293
3360000, 0.032567, 0.060448, 7.699586
3370000, 0.104143, -0.082078, 7.429843
3380000, -0.064833, -0.079524, 7.548711
3390000, -0.040871, 0.113944, 7.241339
3400000, 0.029294, -0.013039, 7.293651
3410000, 0.089835, -0.070872, 7.585713
3420000, 0.012670, -0.096890, 7.370501
3430000, -0.000154, -0.000043, 7.733455
3440000, 0.131857, 0.062971, 7.581917
3450000, -0.069668, -0.089658, 7.008673
3460000, -0.185448, -0.031081, 7.491823
3470000, 0.041313, -0.088864, 7.683486
3480000, 0.012644, -0.025529, 7.576878
3490000, -0.024871, -0.012982, 7.971617
3500000, 0.068662, 0.079760, 7.398281
3510000, 0.003255, 0.104621, 7.097140
3520000, -0.045060, -0.042670, 7.783577
3530000, 0.119717, 0.030085, 7.453182
3540000, 0.003449, 0.062331, 7.199239
3550000, 0.087341, 0.041885, 7.192553
3560000, -0.001357, -0.049508, 7.651413
3570000, 0.103663, -0.029529, 7.617265
3580000, 0.126541, 0.015081, 7.584070
3590000, 0.016694, 0.017108, 8.240361
3600000, 0.100345, 0.081525, 7.342646
3610000, -0.071828, -0.048346, 7.454615
3620000, -0.029684, 0.115483, 7.695166
3630000, 0.019212, -0.009375, 7.690854
3640000, -0.027608, -0.065113, 7.178908
3650000, 0.024264, 0.054194, 7.698243
3660000, 0.039724, 0.197044, 7.288098
3670000, -0.025413, 0.135770, 7.199879
3680000, -0.072883, 0.141719, 7.473090
3690000, -0.112061, 0.083058, 8.359932
3700000, -0.065355, 0.027363, 7.786377
3710000, -0.041560, 0.228614, 7.284776
3720000, -0.007319, 0.029962, 7.347329
3730000, 0.038043, 0.077233, 7.819644
3740000, -0.002860, 0.169314, 7.434476
3750000, -0.033349, 0.007772, 7.889061
3760000, -0.021286, -0.121173, 7.884704
3770000, -0.005070, -0.038502, 7.977177
3780000, 0.008537, 0.014896, 7.299619
3790000, -0.015975, 0.082046, 7.287974
3800000, 0.004643, 0.013187, 7.733778
3810000, -0.023808, 0.046944, 7.556398
3820000, 0.126073, -0.056854, 7.943697
3830000, -0.097456, 0.006759, 8.179024
3840000, 0.045042, -0.068338, 8.182155
3850000, -0.062667, -0.119939, 7.702158
3860000, -0.014053, 0.019962, 7.447247
3870000, 0.061289, 0.041280, 7.652690
3880000, 0.067058, -0.030540, 7.661520
3890000, -0.022350, 0.019690, 7.577496
3900000, -0.079829, 0.116150, 7.489014
3910000, -0.104642, -0.021968, 8.163662
3920000, 0.010020, -0.021145, 7.673325
3930000, 0.100195, -0.144096, 7.594938
3940000, 0.080059, -0.068932, 7.575769
3950000, 0.052111, 0.064645, 7.715632
3960000, 0.109530, 0.127424, 7.237879
3970000, -0.024021, -0.031570, 7.672758
3980000, 0.129926, -0.074317, 7.637781
3990000, -0.000758, 0.087894, 7.896192
4000000, -0.007175, -0.032589, 7.545781
4010000, 0.120457, 0.022591, 7.698864
4020000, -0.160921, -0.132910, 7.572447
4030000, -0.047293, 0.019914, 7.781797
4040000, 0.046708, -0.092917, 7.746785
4050000, 0.017711, -0.051789, 7.713012
4060000, -0.043190, -0.134147, 7.608129
4070000, 0.194765, -0.030924, 7.584847
4080000, 0.062213, -0.040984, 7.427677
4090000, 0.103561, -0.038676, 7.843002
4100000, -0.008758, 0.182939, 7.426983
4110000, 0.069592, 0.128547, 7.739013
4120000, -0.088629, -0.051533, 7.479612
4130000, -0.087269, 0.053701, 7.458394
4140000, -0.111182, -0.184967, 7.181422
4150000, 0.013449, -0.118928, 7.422235
4160000, -0.168299, -0.138700, 7.054944
4170000, -0.204181, 0.030135, 7.315432
4180000, 0.047703, 0.001769, 7.317615
4190000, -0.039657, -0.109966, 7.690046
4200000, -0.024379, 0.017647, 7.538282
4210000, -0.001697, 0.045604, 7.368715
4220000, -0.099504, 0.125997, 7.759476
4230000, -0.149317, -0.027395, 7.688788
4240000, -0.032341, 0.042251, 7.878483
4250000, -0.080472, 0.044893, 8.153230
4260000, -0.028607, -0.117773, 7.532607
4270000, -0.064735, -0.194497, 7.494306
4280000, -0.101940, -0.007800, 7.697720
4290000, 0.082745, 0.120175, 7.925828
4300000, 0.097249, 0.019650, 7.577993
4310000, 0.090417, 0.134797, 7.492687
4320000, 0.006609, 0.072460, 7.993670
4330000, 0.030013, -0.043921, 7.156259
4340000, 0.171847, -0.138496, 7.357329
4350000, 0.103159, 0.008941, 7.643473
4360000, 0.219335, -0.028295, 7.270197
4370000, 0.017082, -0.003271, 7.579130
4380000, -0.017409, -0.149671, 7.704389
4390000, -0.032011, 0.006550, 6.960550
4400000, 0.106978, -0.044695, 7.306245
