Time Step, x CoM, y CoM, z CoM
14760000, 0.466821, -0.347189, 0.000000
14764000, 0.527159, -0.406266, -0.000000
14768000, 0.532389, -0.400984, -0.000002
14772000, 0.310852, -0.496970, 0.000000
14776000, 0.269853, -0.537379, 0.000002
14780000, 0.144183, -0.403203, -0.000000
14784000, 0.036065, -0.536619, -0.000000
14788000, 0.074839, -0.511732, -0.000000
14792000, -0.031484, -0.423764, 0.000000
14796000, -0.074439, -0.540931, -0.000000
14800000, 0.055600, -0.315481, -0.000001
14804000, 0.176815, -0.378946, -0.000001
14808000, 0.176465, -0.472041, -0.000000
14812000, 0.059614, -0.379110, -0.000001
14816000, 0.176946, -0.419559, -0.000001
14820000, 0.367124, -0.283445, 0.000001
14824000, 0.246028, -0.448691, 0.000001
14828000, 0.071380, -0.444003, -0.000000
14832000, 0.047946, -0.579258, -0.000001
14836000, 0.063309, -0.636221, -0.000000
14840000, -0.079843, -0.482252, -0.000000
14844000, 0.046336, -0.564548, -0.000000
14848000, -0.037264, -0.598639, -0.000002
14852000, -0.218392, -0.582431, -0.000001
14856000, -0.246654, -0.571423, 0.000002
14860000, -0.192857, -0.659557, -0.000001
14864000, -0.051676, -0.580503, 0.000000
14868000, 0.063847, -0.699882, -0.000001
14872000, 0.106991, -0.758363, 0.000001
14876000, 0.159449, -0.782575, 0.000001
14880000, 0.110856, -0.607743, -0.000001
14884000, -0.018515, -0.768979, -0.000000
14888000, -0.138401, -0.630943, -0.000001
14892000, -0.228558, -0.601246, 0.000001
14896000, -0.289128, -0.563026, -0.000000
14900000, -0.193501, -0.581644, 0.000002
14904000, -0.208179, -0.562269, -0.000001
14908000, -0.277632, -0.546334, -0.000000
14912000, 0.029316, -0.626512, -0.000001
14916000, -0.176580, -0.463472, -0.000002
14920000, -0.233534, -0.509900, -0.000001
14924000, -0.042945, -0.625953, 0.000001
14928000, 0.116577, -0.464219, 0.000000
14932000, 0.184232, -0.598188, -0.000000
14936000, 0.150327, -0.661084, 0.000001
14940000, 0.085539, -0.755914, 0.000001
14944000, 0.182933, -0.636608, -0.000001
14948000, 0.100378, -0.671693, 0.000001
14952000, 0.175093, -0.770645, -0.000000
14956000, 0.052913, -0.556653, -0.000001
14960000, 0.174328, -0.530683, 0.000001
14964000, 0.378768, -0.624396, 0.000001
14968000, 0.740859, -0.627792, -0.000001
14972000, 0.516362, -0.506697, 0.000001
14976000, 0.611444, -0.293003, 0.000001
14980000, 0.614471, -0.492993, 0.000000
14984000, 0.679738, -0.143083, -0.000001
14988000, 0.842063, -0.086866, 0.000000
14992000, 0.682172, -0.128609, -0.000002
14996000, 0.662972, -0.151690, -0.000001
15000000, 0.725601, -0.108553, 0.000000
15004000, 0.703711, -0.170874, 0.000001
15008000, 0.819828, -0.248756, 0.000001
15012000, 0.726645, -0.435182, -0.000001
15016000, 0.474785, -0.724851, 0.000000
15020000, 0.712981, -0.378548, -0.000000
15024000, 0.806585, -0.158863, 0.000001
15028000, 0.723158, -0.252569, 0.000001
15032000, 0.650838, -0.407070, 0.000001
15036000, 0.663452, 0.002089, 0.000001
15040000, 0.687884, 0.072102, -0.000001
15044000, 0.725288, 0.095670, 0.000002
15048000, 0.607875, 0.129089, 0.000000
15052000, 0.652935, 0.097129, 0.000000
15056000, 0.658620, 0.285015, -0.000001
15060000, 0.664482, 0.185648, -0.000002
15064000, 0.483279, 0.345758, -0.000003
15068000, 0.521164, 0.210445, -0.000001
15072000, 0.545629, 0.156990, -0.000001
15076000, 0.566217, 0.059282, -0.000002
15080000, 0.564665, -0.005956, -0.000001
15084000, 0.621764, 0.091483, -0.000001
15088000, 0.742814, 0.019117, -0.000002
15092000, 0.631607, 0.066784, 0.000003
15096000, 0.675112, 0.088675, 0.000000
15100000, 0.527371, 0.105153, -0.000001
15104000, 0.654680, 0.159777, 0.000002
15108000, 0.573921, 0.056730, -0.000001
15112000, 0.528979, 0.283484, 0.000000
15116000, 0.651100, 0.230409, -0.000000
15120000, 0.517726, 0.304298, -0.000001
15124000, 0.435769, 0.199145, 0.000001
15128000, 0.540365, 0.246015, 0.000001
15132000, 0.557384, 0.438006, 0.000000
15136000, 0.437510, 0.326464, 0.000001
15140000, 0.499859, 0.508622, 0.000001
15144000, 0.234414, 0.696316, -0.000000
15148000, 0.031832, 0.777088, 0.000001
15152000, 0.148471, 0.827966, -0.000000
15156000, 0.078450, 0.837876, 0.000001
15160000, 0.000127, 0.888105, 0.000002
15164000, -0.285155, 0.690851, -0.000002
15168000, -0.270167, 0.716491, -0.000002
15172000, -0.202504, 0.676271, -0.000001
15176000, 0.184172, 0.621127, -0.000001
15180000, 0.114145, 0.534620, 0.000002
15184000, 0.121990, 0.622423, 0.000001
15188000, 0.164968, 0.769689, 0.000000
15192000, 0.336453, 0.771706, 0.000000
15196000, 0.453527, 0.596501, -0.000001
